Cuntrycd,Stkcd,Stknme,Conme,,Prefix
10,000001,平安银行,平安银行股份有限公司,,szmb
10,000002,万科A,万科企业股份有限公司,,szmb
10,000003,PT 金田A,金田实业(集团)股份有限公司,,szmb
10,000004,国农科技,深圳中国农大科技股份有限公司,,szmb
10,000005,世纪星源,深圳世纪星源股份有限公司,,szmb
10,000006,深振业A,深圳市振业(集团)股份有限公司,,szmb
10,000007,全新好,深圳市全新好股份有限公司,,szmb
10,000008,神州高铁,神州高铁技术股份有限公司,,szmb
10,000009,中国宝安,中国宝安集团股份有限公司,,szmb
10,000010,美丽生态,深圳美丽生态股份有限公司,,szmb
10,000011,深物业A,深圳市物业发展(集团)股份有限公司,,szmb
10,000012,南玻A,中国南玻集团股份有限公司,,szmb
10,000013,*ST 石化A,深圳石化工业集团股份有限公司,,szmb
10,000014,沙河股份,沙河实业股份有限公司,,szmb
10,000015,PT 中浩A,深圳中浩(集团)股份有限公司,,szmb
10,000016,深康佳A,康佳集团股份有限公司,,szmb
10,000017,深中华A,深圳中华自行车(集团)股份有限公司,,szmb
10,000018,神州长城,神州长城股份有限公司,,szmb
10,000019,深深宝A,深圳市深宝实业股份有限公司,,szmb
10,000020,深华发A,深圳中恒华发股份有限公司,,szmb
10,000021,深科技,深圳长城开发科技股份有限公司,,szmb
10,000022,深赤湾A,深圳赤湾港航股份有限公司,,szmb
10,000023,深天地A,深圳市天地(集团)股份有限公司,,szmb
10,000024,招商地产,招商局地产控股股份有限公司,,szmb
10,000025,特力A,深圳市特力(集团)股份有限公司,,szmb
10,000026,飞亚达A,飞亚达(集团)股份有限公司,,szmb
10,000027,深圳能源,深圳能源集团股份有限公司,,szmb
10,000028,国药一致,国药集团一致药业股份有限公司,,szmb
10,000029,深深房A,深圳经济特区房地产(集团)股份有限公司,,szmb
10,000030,富奥股份,富奥汽车零部件股份有限公司,,szmb
10,000031,中粮地产,中粮地产(集团)股份有限公司,,szmb
10,000032,深桑达A,深圳市桑达实业股份有限公司,,szmb
10,000033,*ST 新都,深圳新都酒店股份有限公司,,szmb
10,000034,神州数码,神州数码集团股份有限公司,,szmb
10,000035,中国天楹,中国天楹股份有限公司,,szmb
10,000036,华联控股,华联控股股份有限公司,,szmb
10,000037,*ST 南电A,深圳南山热电股份有限公司,,szmb
10,000038,深大通,深圳大通实业股份有限公司,,szmb
10,000039,中集集团,中国国际海运集装箱(集团)股份有限公司,,szmb
10,000040,东旭蓝天,东旭蓝天新能源股份有限公司,,szmb
10,000042,中洲控股,深圳市中洲投资控股股份有限公司,,szmb
10,000043,中航地产,中航地产股份有限公司,,szmb
10,000045,深纺织A,深圳市纺织(集团)股份有限公司,,szmb
10,000046,泛海控股,泛海控股股份有限公司,,szmb
10,000047,ST 中侨,深圳市中侨发展股份有限公司,,szmb
10,000048,康达尔,深圳市康达尔(集团)股份有限公司,,szmb
10,000049,德赛电池,深圳市德赛电池科技股份有限公司,,szmb
10,000050,深天马A,天马微电子股份有限公司,,szmb
10,000055,方大集团,方大集团股份有限公司,,szmb
10,000056,皇庭国际,深圳市皇庭国际企业股份有限公司,,szmb
10,000058,深赛格,深圳赛格股份有限公司,,szmb
10,000059,华锦股份,北方华锦化学工业股份有限公司,,szmb
10,000060,中金岭南,深圳市中金岭南有色金属股份有限公司,,szmb
10,000061,农产品,深圳市农产品股份有限公司,,szmb
10,000062,深圳华强,深圳华强实业股份有限公司,,szmb
10,000063,中兴通讯,中兴通讯股份有限公司,,szmb
10,000065,北方国际,北方国际合作股份有限公司,,szmb
10,000066,长城电脑,中国长城计算机深圳股份有限公司,,szmb
10,000068,华控赛格,深圳华控赛格股份有限公司,,szmb
10,000069,华侨城A,深圳华侨城股份有限公司,,szmb
10,000070,特发信息,深圳市特发信息股份有限公司,,szmb
10,000078,海王生物,深圳市海王生物工程股份有限公司,,szmb
10,000088,盐田港,深圳市盐田港股份有限公司,,szmb
10,000089,深圳机场,深圳市机场股份有限公司,,szmb
10,000090,天健集团,深圳市天健(集团)股份有限公司,,szmb
10,000096,广聚能源,深圳市广聚能源股份有限公司,,szmb
10,000099,中信海直,中信海洋直升机股份有限公司,,szmb
10,000100,TCL集团,TCL集团股份有限公司,,szmb
10,000150,宜华健康,宜华健康医疗股份有限公司,,szmb
10,000151,中成股份,中成进出口股份有限公司,,szmb
10,000153,丰原药业,安徽丰原药业股份有限公司,,szmb
10,000155,*ST 川化,川化股份有限公司,,szmb
10,000156,华数传媒,华数传媒控股股份有限公司,,szmb
10,000157,中联重科,中联重科股份有限公司,,szmb
10,000158,常山股份,石家庄常山纺织股份有限公司,,szmb
10,000159,国际实业,新疆国际实业股份有限公司,,szmb
10,000166,申万宏源,申万宏源集团股份有限公司,,szmb
10,000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,,szmb
10,000333,美的集团,美的集团股份有限公司,,szmb
10,000338,潍柴动力,潍柴动力股份有限公司,,szmb
10,000400,许继电气,许继电气股份有限公司,,szmb
10,000401,冀东水泥,唐山冀东水泥股份有限公司,,szmb
